49.9197	-0.0450775
49.9194	-0.0445019
100.026	-0.0461556
100.025	-0.0435304
100.025	-0.0440887
100.025	-0.0439154
149.944	-0.0439335
149.944	-0.0440969
200.05	-0.0448394
200.05	-0.0454216
200.05	-0.0424396
249.969	-0.04206
249.969	-0.043642
300.075	-0.0434852
349.994	-0.045566
349.994	-0.0455713
399.913	-0.0502895
450.018	-0.0501672
499.939	-0.0476137
550.044	-0.0500731
599.963	-0.0511243
650.068	-0.0498839
699.988	-0.0510151
750.094	-0.0488325
800.013	-0.0492423
849.932	-0.052199
900.038	-0.0474633
949.957	-0.050363
1000.06	-0.0479656
1049.98	-0.0475348
1150.01	-0.0463312
1199.93	-0.0461092
1250.03	-0.048965
1299.95	-0.045812
1399.98	-0.0466242
1450.08	-0.0445988
1500	-0.0465611
1549.92	-0.0419941
1649.95	-0.0435552
1700.05	-0.041353
1749.97	-0.0439359
1849.99	-0.0409167
1900.1	-0.0411789
1950.02	-0.0422446
2050.05	-0.0419953
2099.96	-0.0413005
2199.99	-0.0410313
2250.09	-0.0402595
2349.93	-0.0388044
2400.04	-0.042161
2500.06	-0.0393502
2549.98	-0.0384997
2650.01	-0.0437775
2700.11	-0.037403
2799.95	-0.0381238
2899.98	-0.0385695
2950.08	-0.0395594
3050.11	-0.0423631
3100.03	-0.0351793
3200.05	-0.0396778
3300.08	-0.0377026
3350	-0.0419657
3450.02	-0.0378127
3550.05	-0.0358711
3650.07	-0.0384485
3699.99	-0.0349087
3800.01	-0.0355263
3900.04	-0.0373019
4000.06	-0.0363642
4100.09	-0.0399316
4200.11	-0.0357731
4299.95	-0.0405181
4399.98	-0.0383962
4550.11	-0.0363145
4649.95	-0.0372953
4749.97	-0.0356784
4900.1	-0.0346841
5000.13	-0.0361201
5150.07	-0.0344717
5250.1	-0.0324961
5350.12	-0.0354357
5449.96	-0.0345199
5600.09	-0.033732
5700.12	-0.0338997
5850.06	-0.0373317
5950.08	-0.0360204
6100.03	-0.0350398
6249.97	-0.0322503
6350	-0.0353306
6500.13	-0.0350958
6650.07	-0.0325382
6750.1	-0.0321562
6900.04	-0.0327968
7000.07	-0.031003
7150.01	-0.0354407
7250.04	-0.0302499
7350.06	-0.0302251
7500	-0.0346116
7650.14	-0.0320681
7749.97	-0.0333392
7850	-0.0301325
8000.13	-0.031459
