49.9254	0.036784
57.6161	0.032895
100.023	0.0751592
149.945	0.116685
149.941	0.116698
200.05	0.163224
249.968	0.215642
300.075	0.274873
399.914	0.411768
450.019	0.487873
499.939	0.565404
599.963	0.714206
699.988	0.838267
800.013	0.928346
900.038	0.986926
1000.06	1.02193
1100.09	1.0412
1199.93	1.05071
1350.06	1.05476
1450.08	1.05417
1549.92	1.05202
1700.05	1.0477
1849.99	1.04312
1999.94	1.0387
2349.93	1.02979
2549.98	1.02566
2950.08	1.0192
3149.95	1.01663
3550.05	1.0126
3750.1	1.01106
3949.96	1.00971
4150.01	1.00861
4350.06	1.00745
4550.11	1.00659
4800.08	1.00551
5050.05	1.00463
5250.1	1.00408
5500.07	1.00334
5700.12	1.00289
5950.09	1.00233
6150.13	1.00193
6350	1.00151
6550.05	1.00123
6750.1	1.0009
6950.15	1.00054
7200.12	1.00024
7399.98	1.00004
7600.03	0.999819
7850	0.999539
